Mã sinh viên,Ngày,Tên,Danh Mục,Số Tiền,Ghi Chú,Tháng
B24DCCC040,2024-05-12,Trương Công Chiến,Di chuyển,199348,Thanh toán dịch vụ,
B24DCCC040,2024-09-04,Trương Công Chiến,Mua sắm,117455,Khoản chi đột xuất,
B24DCCC040,2024-09-16,Trương Công Chiến,Y tế,37886,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-01-08,Trương Công Chiến,Giải trí,216006,Chi phí cần thiết trong tháng,
B24DCCC040,2024-12-25,Trương Công Chiến,Khác,272836,Khoản chi đột xuất,
B24DCCC040,2024-12-24,Trương Công Chiến,Mua sắm,487837,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-13,Trương Công Chiến,Học tập,371306,Thanh toán dịch vụ,
B24DCCC040,2024-02-17,Trương Công Chiến,Di chuyển,409262,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-14,Trương Công Chiến,Di chuyển,411463,Thanh toán dịch vụ,
B24DCCC040,2024-12-01,Trương Công Chiến,Khác,198052,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-15,Trương Công Chiến,Mua sắm,489232,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-28,Trương Công Chiến,Y tế,191297,Thanh toán dịch vụ,
B24DCCC040,2024-08-25,Trương Công Chiến,Giải trí,33786,Khoản chi đột xuất,
B24DCCC040,2024-10-20,Trương Công Chiến,Khác,214301,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-13,Trương Công Chiến,Khác,164760,Thanh toán dịch vụ,
B24DCCC040,2024-03-01,Trương Công Chiến,Mua sắm,25297,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-29,Trương Công Chiến,Di chuyển,84840,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-04,Trương Công Chiến,Mua sắm,219901,Khoản chi đột xuất,
B24DCCC040,2024-06-20,Trương Công Chiến,Khác,67196,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-01-21,Trương Công Chiến,Di chuyển,372011,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-20,Trương Công Chiến,Mua sắm,46187,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-04-14,Trương Công Chiến,Học tập,424744,Thanh toán dịch vụ,
B24DCCC040,2024-09-03,Trương Công Chiến,Di chuyển,218088,Khoản chi đột xuất,
B24DCCC040,2024-10-21,Trương Công Chiến,Khác,40067,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-02,Trương Công Chiến,Khác,405974,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-13,Trương Công Chiến,Giải trí,343360,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-31,Trương Công Chiến,Khác,167559,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-04-19,Trương Công Chiến,Giải trí,409544,Khoản chi đột xuất,
B24DCCC040,2024-06-10,Trương Công Chiến,Học tập,116580,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-05-21,Trương Công Chiến,Mua sắm,496596,Chi phí cần thiết trong tháng,
B24DCCC040,2024-12-01,Trương Công Chiến,Y tế,207631,Chi phí cần thiết trong tháng,
B24DCCC040,2024-10-15,Trương Công Chiến,Học tập,319709,Thanh toán dịch vụ,
B24DCCC040,2024-11-03,Trương Công Chiến,Y tế,394912,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-22,Trương Công Chiến,Học tập,149171,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-02,Trương Công Chiến,Học tập,229052,Thanh toán dịch vụ,
B24DCCC040,2024-01-09,Trương Công Chiến,Di chuyển,401760,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-22,Trương Công Chiến,Mua sắm,209653,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-29,Trương Công Chiến,Ăn uống,330289,Chi phí cần thiết trong tháng,
B24DCCC040,2024-11-22,Trương Công Chiến,Khác,79262,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-09,Trương Công Chiến,Mua sắm,373862,Khoản chi đột xuất,
B24DCCC040,2024-03-11,Trương Công Chiến,Ăn uống,355140,Khoản chi đột xuất,
B24DCCC040,2024-07-02,Trương Công Chiến,Học tập,489697,Khoản chi đột xuất,
B24DCCC040,2024-09-30,Trương Công Chiến,Y tế,405475,Thanh toán dịch vụ,
B24DCCC040,2024-04-11,Trương Công Chiến,Ăn uống,102283,Khoản chi đột xuất,
B24DCCC040,2024-03-01,Trương Công Chiến,Mua sắm,262706,Thanh toán dịch vụ,
B24DCCC040,2024-10-17,Trương Công Chiến,Khác,365127,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-19,Trương Công Chiến,Y tế,217443,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-30,Trương Công Chiến,Mua sắm,473658,Thanh toán dịch vụ,
B24DCCC040,2024-09-02,Trương Công Chiến,Khác,117044,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-21,Trương Công Chiến,Giải trí,487570,Thanh toán dịch vụ,
B24DCCC040,2024-07-03,Trương Công Chiến,Ăn uống,352484,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-14,Trương Công Chiến,Ăn uống,212908,Khoản chi đột xuất,
B24DCCC040,2024-08-15,Trương Công Chiến,Di chuyển,111067,Khoản chi đột xuất,
B24DCCC040,2024-01-19,Trương Công Chiến,Khác,310903,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-10,Trương Công Chiến,Di chuyển,438362,Thanh toán dịch vụ,
B24DCCC040,2024-09-25,Trương Công Chiến,Y tế,236167,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-23,Trương Công Chiến,Khác,458390,Thanh toán dịch vụ,
B24DCCC040,2024-07-20,Trương Công Chiến,Di chuyển,347344,Chi phí cần thiết trong tháng,
B24DCCC040,2024-01-12,Trương Công Chiến,Giải trí,81022,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-12-25,Trương Công Chiến,Khác,374353,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-05,Trương Công Chiến,Y tế,352011,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-14,Trương Công Chiến,Ăn uống,493346,Thanh toán dịch vụ,
B24DCCC040,2024-10-11,Trương Công Chiến,Y tế,330350,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-03,Trương Công Chiến,Di chuyển,445656,Khoản chi đột xuất,
B24DCCC040,2024-12-16,Trương Công Chiến,Ăn uống,119219,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-02,Trương Công Chiến,Khác,125568,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-05,Trương Công Chiến,Học tập,298559,Thanh toán dịch vụ,
B24DCCC040,2024-02-19,Trương Công Chiến,Khác,375417,Thanh toán dịch vụ,
B24DCCC040,2024-10-10,Trương Công Chiến,Học tập,35575,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-29,Trương Công Chiến,Học tập,398997,Thanh toán dịch vụ,
B24DCCC040,2024-07-16,Trương Công Chiến,Ăn uống,221386,Khoản chi đột xuất,
B24DCCC040,2024-04-11,Trương Công Chiến,Khác,264215,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-22,Trương Công Chiến,Di chuyển,404459,Thanh toán dịch vụ,
B24DCCC040,2024-12-20,Trương Công Chiến,Mua sắm,87473,Khoản chi đột xuất,
B24DCCC040,2024-04-12,Trương Công Chiến,Di chuyển,199887,Chi phí cần thiết trong tháng,
B24DCCC040,2024-09-12,Trương Công Chiến,Di chuyển,354209,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-01-03,Trương Công Chiến,Khác,30300,Khoản chi đột xuất,
B24DCCC040,2024-04-08,Trương Công Chiến,Học tập,397975,Chi phí cần thiết trong tháng,
B24DCCC040,2024-11-08,Trương Công Chiến,Học tập,198698,Khoản chi đột xuất,
B24DCCC040,2024-02-11,Trương Công Chiến,Khác,388857,Thanh toán dịch vụ,
B24DCCC040,2024-11-09,Trương Công Chiến,Y tế,46788,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-12,Trương Công Chiến,Y tế,255936,Khoản chi đột xuất,
B24DCCC040,2024-11-10,Trương Công Chiến,Giải trí,414391,Khoản chi đột xuất,
B24DCCC040,2024-02-03,Trương Công Chiến,Học tập,140107,Thanh toán dịch vụ,
B24DCCC040,2024-11-11,Trương Công Chiến,Ăn uống,470213,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-29,Trương Công Chiến,Y tế,126132,Chi phí cần thiết trong tháng,
B24DCCC040,2024-01-25,Trương Công Chiến,Giải trí,445473,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-25,Trương Công Chiến,Học tập,238978,Khoản chi đột xuất,
B24DCCC040,2024-04-03,Trương Công Chiến,Giải trí,200904,Khoản chi đột xuất,
B24DCCC040,2024-12-23,Trương Công Chiến,Mua sắm,60824,Khoản chi đột xuất,
B24DCCC040,2024-08-02,Trương Công Chiến,Học tập,257794,Khoản chi đột xuất,
B24DCCC040,2024-10-25,Trương Công Chiến,Di chuyển,416475,Khoản chi đột xuất,
B24DCCC040,2024-10-29,Trương Công Chiến,Học tập,365150,Thanh toán dịch vụ,
B24DCCC040,2024-09-07,Trương Công Chiến,Ăn uống,126696,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-07-21,Trương Công Chiến,Học tập,498125,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-12,Trương Công Chiến,Ăn uống,63774,Thanh toán dịch vụ,
B24DCCC040,2024-02-08,Trương Công Chiến,Học tập,424137,Khoản chi đột xuất,
B24DCCC040,2024-02-11,Trương Công Chiến,Mua sắm,94656,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-27,Trương Công Chiến,Ăn uống,359120,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-11-07,Trương Công Chiến,Ăn uống,233258,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-13,Trương Công Chiến,Di chuyển,242333,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-04-10,Trương Công Chiến,Khác,324830,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-08,Trương Công Chiến,Ăn uống,358393,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-04,Trương Công Chiến,Y tế,224763,Thanh toán dịch vụ,
B24DCCC040,2024-11-29,Trương Công Chiến,Y tế,131338,Thanh toán dịch vụ,
B24DCCC040,2024-11-27,Trương Công Chiến,Giải trí,343531,Thanh toán dịch vụ,
B24DCCC040,2024-08-10,Trương Công Chiến,Y tế,337162,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-08,Trương Công Chiến,Di chuyển,73518,Thanh toán dịch vụ,
B24DCCC040,2024-08-31,Trương Công Chiến,Khác,111992,Khoản chi đột xuất,
B24DCCC040,2024-01-21,Trương Công Chiến,Mua sắm,182106,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-12,Trương Công Chiến,Ăn uống,473443,Khoản chi đột xuất,
B24DCCC040,2024-11-07,Trương Công Chiến,Học tập,163496,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-05-13,Trương Công Chiến,Mua sắm,307271,Thanh toán dịch vụ,
B24DCCC040,2024-02-02,Trương Công Chiến,Giải trí,245185,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-09-23,Trương Công Chiến,Khác,164002,Chi phí cần thiết trong tháng,
B24DCCC040,2024-01-06,Trương Công Chiến,Giải trí,125224,Thanh toán dịch vụ,
B24DCCC040,2024-11-23,Trương Công Chiến,Mua sắm,389593,Khoản chi đột xuất,
B24DCCC040,2024-08-10,Trương Công Chiến,Mua sắm,126790,Thanh toán dịch vụ,
B24DCCC040,2024-03-04,Trương Công Chiến,Khác,236086,Khoản chi đột xuất,
B24DCCC040,2024-01-14,Trương Công Chiến,Giải trí,377918,Khoản chi đột xuất,
B24DCCC040,2024-10-06,Trương Công Chiến,Khác,273627,Thanh toán dịch vụ,
B24DCCC040,2024-10-22,Trương Công Chiến,Giải trí,274491,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-04,Trương Công Chiến,Giải trí,172561,Thanh toán dịch vụ,
B24DCCC040,2024-11-12,Trương Công Chiến,Di chuyển,112464,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-07-29,Trương Công Chiến,Ăn uống,466803,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-11,Trương Công Chiến,Ăn uống,101603,Chi phí cần thiết trong tháng,
B24DCCC040,2024-09-20,Trương Công Chiến,Học tập,460976,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-04,Trương Công Chiến,Học tập,143114,Thanh toán dịch vụ,
B24DCCC040,2024-08-30,Trương Công Chiến,Y tế,65468,Thanh toán dịch vụ,
B24DCCC040,2024-10-21,Trương Công Chiến,Khác,53961,Thanh toán dịch vụ,
B24DCCC040,2024-01-02,Trương Công Chiến,Giải trí,435877,Thanh toán dịch vụ,
B24DCCC040,2024-06-25,Trương Công Chiến,Ăn uống,293346,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-20,Trương Công Chiến,Giải trí,264632,Khoản chi đột xuất,
B24DCCC040,2024-08-27,Trương Công Chiến,Ăn uống,149318,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-07-04,Trương Công Chiến,Khác,431695,Thanh toán dịch vụ,
B24DCCC040,2024-04-18,Trương Công Chiến,Mua sắm,144581,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-10,Trương Công Chiến,Ăn uống,447410,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-12-25,Trương Công Chiến,Di chuyển,68092,Thanh toán dịch vụ,
B24DCCC040,2024-02-16,Trương Công Chiến,Khác,89513,Khoản chi đột xuất,
B24DCCC040,2024-09-12,Trương Công Chiến,Khác,236636,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-20,Trương Công Chiến,Ăn uống,134634,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-05-11,Trương Công Chiến,Di chuyển,230095,Khoản chi đột xuất,
B24DCCC040,2024-03-22,Trương Công Chiến,Mua sắm,78935,Khoản chi đột xuất,
B24DCCC040,2024-06-30,Trương Công Chiến,Mua sắm,264537,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-01-17,Trương Công Chiến,Di chuyển,223638,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-15,Trương Công Chiến,Học tập,323743,Chi phí cần thiết trong tháng,
B24DCCC040,2024-08-30,Trương Công Chiến,Ăn uống,358639,Thanh toán dịch vụ,
B24DCCC040,2024-05-03,Trương Công Chiến,Ăn uống,432019,Thanh toán dịch vụ,
B24DCCC040,2024-11-23,Trương Công Chiến,Ăn uống,125979,Chi phí cần thiết trong tháng,
B24DCCC040,2024-01-26,Trương Công Chiến,Mua sắm,117405,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-11-12,Trương Công Chiến,Ăn uống,294482,Thanh toán dịch vụ,
B24DCCC040,2024-10-06,Trương Công Chiến,Mua sắm,116583,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-01-18,Trương Công Chiến,Di chuyển,148756,Chi phí cần thiết trong tháng,
B24DCCC040,2024-11-09,Trương Công Chiến,Mua sắm,224429,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-01,Trương Công Chiến,Mua sắm,269840,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-23,Trương Công Chiến,Mua sắm,484878,Thanh toán dịch vụ,
B24DCCC040,2024-11-08,Trương Công Chiến,Ăn uống,257908,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-12,Trương Công Chiến,Di chuyển,484190,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-04-04,Trương Công Chiến,Di chuyển,203989,Khoản chi đột xuất,
B24DCCC040,2024-01-08,Trương Công Chiến,Di chuyển,203057,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-16,Trương Công Chiến,Di chuyển,456359,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-05-31,Trương Công Chiến,Học tập,392749,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-02,Trương Công Chiến,Khác,336440,Khoản chi đột xuất,
B24DCCC040,2024-11-03,Trương Công Chiến,Y tế,195199,Chi phí cần thiết trong tháng,
B24DCCC040,2024-10-04,Trương Công Chiến,Mua sắm,293747,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-18,Trương Công Chiến,Học tập,91284,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-13,Trương Công Chiến,Ăn uống,94613,Khoản chi đột xuất,
B24DCCC040,2024-01-25,Trương Công Chiến,Y tế,476673,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-03-30,Trương Công Chiến,Học tập,271556,Chi phí cần thiết trong tháng,
B24DCCC040,2024-12-02,Trương Công Chiến,Khác,401493,Khoản chi đột xuất,
B24DCCC040,2024-03-29,Trương Công Chiến,Mua sắm,347700,Thanh toán dịch vụ,
B24DCCC040,2024-12-24,Trương Công Chiến,Y tế,29863,Khoản chi đột xuất,
B24DCCC040,2024-09-13,Trương Công Chiến,Ăn uống,355024,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-16,Trương Công Chiến,Di chuyển,89868,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-02-13,Trương Công Chiến,Ăn uống,80208,Thanh toán dịch vụ,
B24DCCC040,2024-12-28,Trương Công Chiến,Di chuyển,379032,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-01,Trương Công Chiến,Y tế,147622,Khoản chi đột xuất,
B24DCCC040,2024-06-11,Trương Công Chiến,Khác,77349,Thanh toán dịch vụ,
B24DCCC040,2024-04-17,Trương Công Chiến,Khác,185120,Thanh toán dịch vụ,
B24DCCC040,2024-01-12,Trương Công Chiến,Giải trí,312015,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-22,Trương Công Chiến,Khác,29341,Khoản chi đột xuất,
B24DCCC040,2024-06-05,Trương Công Chiến,Y tế,298606,Chi phí cần thiết trong tháng,
B24DCCC040,2024-11-15,Trương Công Chiến,Giải trí,462510,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-26,Trương Công Chiến,Y tế,260560,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-29,Trương Công Chiến,Ăn uống,152945,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-21,Trương Công Chiến,Mua sắm,438853,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-18,Trương Công Chiến,Di chuyển,338113,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-22,Trương Công Chiến,Ăn uống,415925,Khoản chi đột xuất,
B24DCCC040,2024-06-27,Trương Công Chiến,Học tập,477126,Chi phí cần thiết trong tháng,
B24DCCC040,2024-11-08,Trương Công Chiến,Khác,421027,Thanh toán dịch vụ,
B24DCCC040,2024-09-23,Trương Công Chiến,Ăn uống,111481,Khoản chi đột xuất,
B24DCCC040,2024-07-17,Trương Công Chiến,Học tập,210797,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-20,Trương Công Chiến,Khác,273670,Khoản chi đột xuất,
B24DCCC040,2024-12-07,Trương Công Chiến,Học tập,208944,Khoản chi đột xuất,
B24DCCC040,2024-08-19,Trương Công Chiến,Khác,205519,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-09,Trương Công Chiến,Học tập,301863,Khoản chi đột xuất,
B24DCCC040,2024-06-13,Trương Công Chiến,Giải trí,243973,Khoản chi đột xuất,
B24DCCC040,2024-02-10,Trương Công Chiến,Y tế,293368,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-02,Trương Công Chiến,Học tập,115134,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-08-19,Trương Công Chiến,Di chuyển,443998,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-07,Trương Công Chiến,Ăn uống,60745,Chi phí cần thiết trong tháng,
B24DCCC040,2024-12-09,Trương Công Chiến,Ăn uống,437751,Thanh toán dịch vụ,
B24DCCC040,2024-12-16,Trương Công Chiến,Khác,489722,Thanh toán dịch vụ,
B24DCCC040,2024-03-25,Trương Công Chiến,Học tập,71954,Khoản chi đột xuất,
B24DCCC040,2024-08-06,Trương Công Chiến,Khác,127812,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-01-18,Trương Công Chiến,Giải trí,434999,Khoản chi đột xuất,
B24DCCC040,2024-10-01,Trương Công Chiến,Học tập,396446,Chi phí cần thiết trong tháng,
B24DCCC040,2024-10-02,Trương Công Chiến,Khác,43857,Chi phí cần thiết trong tháng,
B24DCCC040,2024-09-23,Trương Công Chiến,Khác,475150,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-10-12,Trương Công Chiến,Y tế,197276,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-15,Trương Công Chiến,Khác,405205,Thanh toán dịch vụ,
B24DCCC040,2024-12-21,Trương Công Chiến,Mua sắm,101726,Thanh toán dịch vụ,
B24DCCC040,2024-08-03,Trương Công Chiến,Mua sắm,183376,Khoản chi đột xuất,
B24DCCC040,2024-11-10,Trương Công Chiến,Ăn uống,409090,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-12-05,Trương Công Chiến,Giải trí,414256,Thanh toán dịch vụ,
B24DCCC040,2024-05-31,Trương Công Chiến,Giải trí,455029,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-26,Trương Công Chiến,Giải trí,110698,Chi phí cần thiết trong tháng,
B24DCCC040,2024-01-09,Trương Công Chiến,Giải trí,245105,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-02,Trương Công Chiến,Mua sắm,492978,Chi phí cần thiết trong tháng,
B24DCCC040,2024-05-21,Trương Công Chiến,Giải trí,276381,Khoản chi đột xuất,
B24DCCC040,2024-02-14,Trương Công Chiến,Học tập,334502,Khoản chi đột xuất,
B24DCCC040,2024-05-05,Trương Công Chiến,Khác,121331,Khoản chi đột xuất,
B24DCCC040,2024-07-27,Trương Công Chiến,Ăn uống,260692,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-09-17,Trương Công Chiến,Học tập,251518,Chi phí cần thiết trong tháng,
B24DCCC040,2024-06-22,Trương Công Chiến,Giải trí,365177,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-11-15,Trương Công Chiến,Học tập,424132,Chi phí cần thiết trong tháng,
B24DCCC040,2024-07-25,Trương Công Chiến,Di chuyển,497634,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-30,Trương Công Chiến,Mua sắm,63324,Chi phí cần thiết trong tháng,
B24DCCC040,2024-04-13,Trương Công Chiến,Khác,250304,Thanh toán dịch vụ,
B24DCCC040,2024-11-06,Trương Công Chiến,Ăn uống,181226,Thanh toán dịch vụ,
B24DCCC040,2024-04-06,Trương Công Chiến,Y tế,443982,Khoản chi đột xuất,
B24DCCC040,2024-09-21,Trương Công Chiến,Giải trí,350490,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-05-10,Trương Công Chiến,Khác,102697,Khoản chi đột xuất,
B24DCCC040,2024-04-01,Trương Công Chiến,Ăn uống,168454,Chi phí cần thiết trong tháng,
B24DCCC040,2024-09-28,Trương Công Chiến,Giải trí,293540,Thanh toán dịch vụ,
B24DCCC040,2024-10-03,Trương Công Chiến,Khác,266254,Chi phí cần thiết trong tháng,
B24DCCC040,2024-02-27,Trương Công Chiến,Khác,263406,Khoản chi đột xuất,
B24DCCC040,2024-09-08,Trương Công Chiến,Mua sắm,211535,Thanh toán dịch vụ,
B24DCCC040,2024-02-01,Trương Công Chiến,Di chuyển,436760,Khoản chi đột xuất,
B24DCCC040,2024-12-06,Trương Công Chiến,Giải trí,79368,Khoản chi đột xuất,
B24DCCC040,2024-10-22,Trương Công Chiến,Giải trí,330237,Thanh toán dịch vụ,
B24DCCC040,2024-08-24,Trương Công Chiến,Học tập,49235,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-11-06,Trương Công Chiến,Y tế,75987,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-07-27,Trương Công Chiến,Di chuyển,63980,Phí dịch vụ hoặc tiện ích,
B24DCCC040,2024-06-23,Trương Công Chiến,Học tập,224708,Khoản chi đột xuất,
B24DCCC040,2024-09-11,Trương Công Chiến,Di chuyển,303979,Khoản chi đột xuất,
B24DCCC040,2024-07-31,Trương Công Chiến,Y tế,497943,Khoản chi đột xuất,
